,Hero,Pick Rate,Win Rate,KDA
0,AnaSupport,9.05%,48.28%,1.99
1,MercySupport,6.72%,48.21%,0.54
2,MoiraSupport,4.93%,50.57%,3.76
3,ZenyattaSupport,3.89%,51.77%,2.66
4,ReinhardtTank,3.75%,51.48%,2.39
5,LúcioSupport,3.72%,52.10%,2.41
6,GenjiDamage,3.30%,48.64%,2.74
7,Soldier: 76Damage,3.19%,47.70%,3.16
8,CassidyDamage,3.16%,45.10%,2.74
9,D.VaTank,3.06%,48.61%,4.87
10,ZaryaTank,3.01%,48.71%,4.11
11,RoadhogTank,3.00%,46.93%,3.57
12,HanzoDamage,2.88%,46.69%,2.82
13,JunkratDamage,2.67%,49.54%,2.59
14,BaptisteSupport,2.41%,47.28%,2.15
15,OrisaTank,2.28%,46.70%,3.06
16,WidowmakerDamage,2.21%,44.39%,2.39
17,AsheDamage,2.12%,50.36%,2.91
18,SigmaTank,1.91%,51.97%,3.97
19,WinstonTank,1.86%,50.33%,3.26
20,BrigitteSupport,1.81%,52.96%,2.05
21,PharahDamage,1.78%,51.49%,3.09
22,ReaperDamage,1.73%,49.64%,2.99
23,TracerDamage,1.55%,45.53%,2.72
24,DoomfistTank,1.43%,49.64%,2.13
25,Wrecking BallTank,1.28%,50.30%,3.34
26,SombraDamage,1.27%,44.44%,3.2
27,TorbjörnDamage,1.13%,53.39%,3.59
28,MeiDamage,1.10%,48.63%,2.96
29,SymmetraDamage,1.06%,54.77%,3.21
30,BastionDamage,1.04%,48.32%,2.81
31,EchoDamage,0.79%,50.96%,3.11
32,KirikoSupport,0.06%,48.16%,5.29
33,SojournDamage,0.02%,48.69%,3.44
34,Junker QueenTank,0.01%,49.22%,5.17
35,RamattraTank,0.01%,42.70%,3.35
